ID,種別,名前,場所,version_or_sha256,確認状態,担当エージェント,証拠
FILE-000012,ROOT_TRACKED,MANIFEST.md,.repo-trash/20260713/collections-userlabels/MANIFEST.md,sha256:f7437bea90642998af72a43baf6142fccd70dbd19455e8d1d0f65c5fd6cb4d35,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
FILE-000013,ROOT_TRACKED,DefaultUrlRepositoryCollectionsSupport.kt,.repo-trash/20260713/collections-userlabels/files/app/src/main/java/jp/mimac/urlsaver/data/DefaultUrlRepositoryCollectionsSupport.kt,sha256:9f269cf9353f50718ca0b53ec8ec1509b3195c4f97cdebf16b819796c5d9dda7,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
FILE-000014,ROOT_TRACKED,LocalTagCollectionEntryRef.kt,.repo-trash/20260713/collections-userlabels/files/app/src/main/java/jp/mimac/urlsaver/data/LocalTagCollectionEntryRef.kt,sha256:3319632463e9c76583930db5a411ab509ba941b36434676ee60252ac00ef04ba,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
FILE-000015,ROOT_TRACKED,UserLabelDao.kt,.repo-trash/20260713/collections-userlabels/files/app/src/main/java/jp/mimac/urlsaver/data/UserLabelDao.kt,sha256:05a5149db774a1968c81703c5b6b6a2d6385f2793352c9ffcece33278c111564,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
FILE-000016,ROOT_TRACKED,CollectionFilterRow.kt,.repo-trash/20260713/collections-userlabels/files/app/src/main/java/jp/mimac/urlsaver/ui/components/CollectionFilterRow.kt,sha256:2cd059dc15f0a0bc76cb9d152dd548a3db11f3e0ad13c58e6e4679371fcb876a,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
FILE-000017,ROOT_TRACKED,MainListViewModelCollectionLabelTest.kt,.repo-trash/20260713/collections-userlabels/files/app/src/test/java/jp/mimac/urlsaver/MainListViewModelCollectionLabelTest.kt,sha256:bda3923ff2678b8ad2d74bf7dc23c50301513161c61735346c7d1919755c1687,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
FILE-000018,ROOT_TRACKED,mixed-collection-ui-removal.snippet,.repo-trash/20260713/collections-userlabels/patches/android/mixed-collection-ui-removal.snippet,sha256:6cb5e040ed73127e1d7ceecf2050fcde6d1864cd417b8e6d74a1ee4e9e0ba5ee,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
FILE-000019,ROOT_TRACKED,collections-retirement.patch,.repo-trash/20260713/collections-userlabels/patches/ios/collections-retirement.patch,sha256:c4318043da2dab984843f45004476a3699684e1cab701b7fc538ac99820468f3,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
FILE-000020,ROOT_TRACKED,AGENTS.md,AGENTS.md,sha256:84266cdb5863daef8520225537205d02e10dd1f5df11682dc0b61583eb9612e3,PARTIALLY_VERIFIED,S2,read for governing/source-baseline context; not a full prose audit
FILE-000021,ROOT_TRACKED,CODEX_INSTRUCTIONS.md,CODEX_INSTRUCTIONS.md,sha256:72926f447b2eb218362f94f74e23c63c4ea96cde9aec566ccc18b9805c36c9f8,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
FILE-000022,ROOT_TRACKED,DESIGN.md,DESIGN.md,sha256:6582b60b5ef9cedd60d5305139a46e7a1bdaa4a020f76ec5211f3ac3d1c83e47,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
FILE-000023,ROOT_TRACKED,MULTI_AGENT_REVIEW_REPORT.md,MULTI_AGENT_REVIEW_REPORT.md,sha256:bad79ef16338ac226a8db2266ea5c65caa60f3e564ee0ba583b655ea0339126e,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
FILE-000024,ROOT_TRACKED,PURCHASE_SECURITY_REMEDIATION_REPORT.md,PURCHASE_SECURITY_REMEDIATION_REPORT.md,sha256:ed27259770494537c6effb6b1795b970b51186ccb2db7cfe74dd7d28c567871f,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
FILE-000025,ROOT_TRACKED,README.md,README.md,sha256:66861cb5407ebd0b998d10ec7688ce6b289e4117190743dc32048ec8dc07ac0b,PARTIALLY_VERIFIED,S2,read for governing/source-baseline context; not a full prose audit
FILE-000026,ROOT_TRACKED,build.gradle.kts,app/build.gradle.kts,sha256:450616ef7b7a527a636bf69f31e8d9eb33fff2d7e406eaf01ebb92d21e6744cf,PARTIALLY_VERIFIED,S2,specific lines/structure reviewed; full file/runtime or visual scope not exhausted
FILE-000027,ROOT_TRACKED,proguard-rules.pro,app/proguard-rules.pro,sha256:21d41fb2c1ad743f8f65b00326d40e9d8cda9baa63d9a03b9a7b659c37ddad3a,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000028,ROOT_TRACKED,.gitkeep,app/schemas/.gitkeep,sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000029,ROOT_TRACKED,10.json,app/schemas/jp.mimac.urlsaver.data.AppDatabase/10.json,sha256:d86ce449b2928b23d2eca8f7b9749a70b59f8d429116eec2a2deb7b2e446bd3b,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000030,ROOT_TRACKED,11.json,app/schemas/jp.mimac.urlsaver.data.AppDatabase/11.json,sha256:ca2e81d3a8663194239a12637efc594405e6bd4097e66e71e7c8aeede38c2e2b,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000031,ROOT_TRACKED,12.json,app/schemas/jp.mimac.urlsaver.data.AppDatabase/12.json,sha256:646c2dba75055f56e75ba68737af4de83fd6845a75761e438a43b0207586812c,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000032,ROOT_TRACKED,13.json,app/schemas/jp.mimac.urlsaver.data.AppDatabase/13.json,sha256:fb1a3a223ea4188ac1627a45668742f7d6e31121942bee2d590896d3a7cbc720,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000033,ROOT_TRACKED,14.json,app/schemas/jp.mimac.urlsaver.data.AppDatabase/14.json,sha256:c409e684e96c17e92b59393d71ca8ba86773f6492e7e8402a9ecfaae2b9536f5,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000034,ROOT_TRACKED,16.json,app/schemas/jp.mimac.urlsaver.data.AppDatabase/16.json,sha256:18c8e104febe167c4ca3e2d208a00b085e0441a5acab5a8fba7bcdbdc5cd5286,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000035,ROOT_TRACKED,17.json,app/schemas/jp.mimac.urlsaver.data.AppDatabase/17.json,sha256:d4ddc26f6d0bb3d27c2ec9175e152eaa00f9bfca0dca1d3508e45290fc41a1f6,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000036,ROOT_TRACKED,18.json,app/schemas/jp.mimac.urlsaver.data.AppDatabase/18.json,sha256:da25a7917d0e4de8bac8bb62a232ce4c06979732207e6de393c85ef4fcce3223,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000037,ROOT_TRACKED,2.json,app/schemas/jp.mimac.urlsaver.data.AppDatabase/2.json,sha256:a6c53f147007047a74e8020a8b4948ca8a6df0dae1e13a809948ac7705eac3e4,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000038,ROOT_TRACKED,20.json,app/schemas/jp.mimac.urlsaver.data.AppDatabase/20.json,sha256:26326fc11b43a07335316ab8987dae3b2489a7aaca6c380ac81415251f3ef0d7,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000039,ROOT_TRACKED,21.json,app/schemas/jp.mimac.urlsaver.data.AppDatabase/21.json,sha256:348bd82495948f7581588d947ff5420a40e8e8795666a3db6e0276f0dcbadef0,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000040,ROOT_TRACKED,22.json,app/schemas/jp.mimac.urlsaver.data.AppDatabase/22.json,sha256:fda11a79d28b5837ad4918f60201baad64523c7fb6e43ceefa406a29db797d13,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000041,ROOT_TRACKED,3.json,app/schemas/jp.mimac.urlsaver.data.AppDatabase/3.json,sha256:2c4f7826989f82ba958413790fdccfe6148df1ac625c4e8b6e506c6fd6d0b404,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000042,ROOT_TRACKED,4.json,app/schemas/jp.mimac.urlsaver.data.AppDatabase/4.json,sha256:c63f3044a2adfaf2afa04ee24a3176d4427a3953b0b173f7bf52981520c5058a,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000043,ROOT_TRACKED,5.json,app/schemas/jp.mimac.urlsaver.data.AppDatabase/5.json,sha256:3e008755e1ff2d919bbb9fdf4451357603ae2cd71400569b5f9a096895062dc0,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000044,ROOT_TRACKED,6.json,app/schemas/jp.mimac.urlsaver.data.AppDatabase/6.json,sha256:44bb87ec6439228cb6358d671db52b98e3231440f0dbd935025f5f78165354c2,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000045,ROOT_TRACKED,7.json,app/schemas/jp.mimac.urlsaver.data.AppDatabase/7.json,sha256:ee46771fe7cbf5daaf07d52f05b7ea354471496d5a66b7708de1292c4ab38a65,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000046,ROOT_TRACKED,8.json,app/schemas/jp.mimac.urlsaver.data.AppDatabase/8.json,sha256:08fa83f29edcafc6b548d7841a8d20643970bd660339d84d30c99a9109977f00,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000047,ROOT_TRACKED,9.json,app/schemas/jp.mimac.urlsaver.data.AppDatabase/9.json,sha256:af5187484191603d87694caf591c633e913637e1f53b8711f816f11d48033603,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000048,ROOT_TRACKED,AppSmokeTest.kt,app/src/androidTest/java/jp/mimac/urlsaver/AppSmokeTest.kt,sha256:6015dabf0eda32aabe06a8c15aca7d22461b738d38602e555ec0e9730ceb4fb3,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000049,ROOT_UNTRACKED,EntryCardContrastComposeTest.kt,app/src/androidTest/java/jp/mimac/urlsaver/EntryCardContrastComposeTest.kt,sha256:77b31dc1a8d0e1b4d2eafa01b02dfd1c728ef40f4710c6647839e8082c7e8243,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000050,ROOT_TRACKED,Phase1aFlowTest.kt,app/src/androidTest/java/jp/mimac/urlsaver/Phase1aFlowTest.kt,sha256:0a62aa416cbe2e5ac87dcdda3d39c48e21a666d8d9553ceb930964bf35e788c2,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000051,ROOT_TRACKED,ServiceFilterRowDragTest.kt,app/src/androidTest/java/jp/mimac/urlsaver/ServiceFilterRowDragTest.kt,sha256:b8e35d4a084b736b3ec9fb8f42b009b6b25d962d494ec2a7d6639d3adfc1ca70,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000052,ROOT_TRACKED,SharedTagCloudLiveDeviceTest.kt,app/src/androidTest/java/jp/mimac/urlsaver/SharedTagCloudLiveDeviceTest.kt,sha256:7a580230aa687c17f8ffe0d51743afc5d17fb885a50cf6a9c6d9e722f34a9e2e,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000053,ROOT_TRACKED,AndroidManifest.xml,app/src/debug/AndroidManifest.xml,sha256:e4a2358b854f34699193af369f041aa8fc0ad0006d5bd5d6910ee06771347ab1,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000054,ROOT_TRACKED,BuildVariantEntitlementOverrides.kt,app/src/debug/java/jp/mimac/urlsaver/domain/BuildVariantEntitlementOverrides.kt,sha256:f8a261dbf554f8df3a323e8b5f6cbb3caec251ff55f540d67a77ee331663da8a,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000055,ROOT_TRACKED,AndroidManifest.xml,app/src/main/AndroidManifest.xml,sha256:33bb58cee943a5e761b2238a671fe2ef098cc4f32463e64d2987316ca016be13,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000056,ROOT_UNTRACKED,FirstRunOnboardingStore.kt,app/src/main/java/jp/mimac/urlsaver/FirstRunOnboardingStore.kt,sha256:c9fcab38e277ac6393947e0ee098f60a93d9eac5903f9dd791a69878b0dcb1cf,PARTIALLY_VERIFIED,S2,"read-only S1 diff cross-review; host tests/source inspected, physical/runtime/visual proof not exhausted"
FILE-000057,ROOT_TRACKED,MainActivity.kt,app/src/main/java/jp/mimac/urlsaver/MainActivity.kt,sha256:fb8feedc7e8153d75e2522e59762e47ae01a493f2c2dc14e55a701d582304252,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000058,ROOT_TRACKED,ShareReceiverActivity.kt,app/src/main/java/jp/mimac/urlsaver/ShareReceiverActivity.kt,sha256:0f53979a742aaa43c186c3dbea1441a1a46bc9985dcb6e4ef432f5a9266a8a4a,PARTIALLY_VERIFIED,S2,"read-only S1 diff cross-review; host tests/source inspected, physical/runtime/visual proof not exhausted"
FILE-000059,ROOT_TRACKED,ShareReceiverEntrypointRouter.kt,app/src/main/java/jp/mimac/urlsaver/ShareReceiverEntrypointRouter.kt,sha256:d3c41ecc48b719c9fc4ee6b01bf530486f115af4228ce98d34f1482825bac97b,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000060,ROOT_UNTRACKED,ShareReceiverViewModel.kt,app/src/main/java/jp/mimac/urlsaver/ShareReceiverViewModel.kt,sha256:d5f570402c108c9aec93641236d6247665bb5a1fb0f47a5a1cf75b8d5bc7a158,PARTIALLY_VERIFIED,S2,"read-only S1 diff cross-review; host tests/source inspected, physical/runtime/visual proof not exhausted"
FILE-000061,ROOT_TRACKED,UrlSaverApp.kt,app/src/main/java/jp/mimac/urlsaver/UrlSaverApp.kt,sha256:28533364b225a71d63a21fe05997c6469ade517c09698b6da7c487dfd0eca332,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000062,ROOT_TRACKED,AdsConfig.kt,app/src/main/java/jp/mimac/urlsaver/ads/AdsConfig.kt,sha256:dbbcb1a101d6f759bed10a83db6fac74030ec2a8e7548f4757f25312a64616e5,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000063,ROOT_TRACKED,AdsManager.kt,app/src/main/java/jp/mimac/urlsaver/ads/AdsManager.kt,sha256:1118a9ed88c5c5761f3e612889fecea179516d8c18cc2c4f6d8ed3b4e41b8cfd,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000064,ROOT_TRACKED,AppContainer.kt,app/src/main/java/jp/mimac/urlsaver/app/AppContainer.kt,sha256:d86e9cbbeed5206c1c97ab39e0a8f03e54efaaa28994b34c6d06b011a3228792,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000065,ROOT_TRACKED,GooglePlayBillingService.kt,app/src/main/java/jp/mimac/urlsaver/billing/GooglePlayBillingService.kt,sha256:d52ea2581f23e1cdef99ac8b35e87dacf29b17888135f17dd32b88bae593b733,PARTIALLY_VERIFIED,S2,specific lines/structure reviewed; full file/runtime or visual scope not exhausted
FILE-000066,ROOT_TRACKED,AiTransparency.kt,app/src/main/java/jp/mimac/urlsaver/data/AiTransparency.kt,sha256:85d27ec743c7d095a8296c64e20bf1a575aa47a73d231d1fd6950ba7f8a71a44,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000067,ROOT_TRACKED,AiTransparencyDao.kt,app/src/main/java/jp/mimac/urlsaver/data/AiTransparencyDao.kt,sha256:4fd001a9924c253531fa12a9a889ccf964afe0492c4bd61752436efec95c7a2a,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000068,ROOT_TRACKED,AiTransparencyEntities.kt,app/src/main/java/jp/mimac/urlsaver/data/AiTransparencyEntities.kt,sha256:df8335759abd6004f92bc395a869309bd8d3018e4409c1a9370659039b7c5f21,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000069,ROOT_TRACKED,AppDatabase.kt,app/src/main/java/jp/mimac/urlsaver/data/AppDatabase.kt,sha256:e58c46ae6151755251dafedfa8d77f89a2acafe7411c188e4269d012baafecb4,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000070,ROOT_TRACKED,ChatGptPersonalLinkSync.kt,app/src/main/java/jp/mimac/urlsaver/data/ChatGptPersonalLinkSync.kt,sha256:51a4b65a7d3a504bbc078e87967b6545df231174232e6d21d9b7fd5078ccf835,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000071,ROOT_TRACKED,CollectionDao.kt,app/src/main/java/jp/mimac/urlsaver/data/CollectionDao.kt,sha256:03bb312a87cc01687a415f86a22691a7050ac421fde4fa085a168aaea502d45b,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000072,ROOT_TRACKED,CollectionModels.kt,app/src/main/java/jp/mimac/urlsaver/data/CollectionModels.kt,sha256:9c3003f86e7e2d1632cadccc31fd4d137d0a0ab83a18f57ddc06b0a47213ae2d,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000073,ROOT_TRACKED,ContactSupportClient.kt,app/src/main/java/jp/mimac/urlsaver/data/ContactSupportClient.kt,sha256:c6cafc0db01210336c7513b011222adb8c0e47c5059df1b56f406d9f1d31a6bd,PARTIALLY_VERIFIED,S2,specific lines/structure reviewed; full file/runtime or visual scope not exhausted
FILE-000074,ROOT_TRACKED,Converters.kt,app/src/main/java/jp/mimac/urlsaver/data/Converters.kt,sha256:fb72779630f688c49d4c4b1b12e688ccf63d95e71aef5c1de8ab648580fd1c47,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000075,ROOT_TRACKED,DefaultTagRepository.kt,app/src/main/java/jp/mimac/urlsaver/data/DefaultTagRepository.kt,sha256:bdcef8b832610535436739949d8321e82df1e5bd656b4a36e7052b5db89b92c7,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000076,ROOT_TRACKED,DefaultUrlRepository.kt,app/src/main/java/jp/mimac/urlsaver/data/DefaultUrlRepository.kt,sha256:e42685b435427a3343275cfd17ffdb1e5edd722acbf90bcfc82f51fde5405c88,PARTIALLY_VERIFIED,S2,"read-only S1 diff cross-review; host tests/source inspected, physical/runtime/visual proof not exhausted"
FILE-000077,ROOT_TRACKED,EntitlementGrantRemoteDataSource.kt,app/src/main/java/jp/mimac/urlsaver/data/EntitlementGrantRemoteDataSource.kt,sha256:44bd753473021582287b85b08449cb8b0188abcb84c087af84734ed4e34cd5c1,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000078,ROOT_TRACKED,EntitlementGrantRepository.kt,app/src/main/java/jp/mimac/urlsaver/data/EntitlementGrantRepository.kt,sha256:075a55dd195af25334b3004b111c76ab9668025b4c643411e809696b52e49c14,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000079,ROOT_TRACKED,EntitlementGrantStore.kt,app/src/main/java/jp/mimac/urlsaver/data/EntitlementGrantStore.kt,sha256:fd961dbd5e7cef41f74bd6cfdf3bfe1893f875dd70f2c7f16412f9adfa2c5577,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000080,ROOT_TRACKED,EntryCardDisplayModeStore.kt,app/src/main/java/jp/mimac/urlsaver/data/EntryCardDisplayModeStore.kt,sha256:92df1c56cb4b8eda646d0458813eff9ad9417d9e58b104f3e99c999351fc708d,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000081,ROOT_TRACKED,ExportRepository.kt,app/src/main/java/jp/mimac/urlsaver/data/ExportRepository.kt,sha256:38fd74b9c37db82cf9a8023108cd52bd0c289bd99992277c5e1ffa5c42d202a5,PARTIALLY_VERIFIED,S2,specific lines/structure reviewed; full file/runtime or visual scope not exhausted
FILE-000082,ROOT_TRACKED,LocalAccountCleanupStore.kt,app/src/main/java/jp/mimac/urlsaver/data/LocalAccountCleanupStore.kt,sha256:6ca4112859ece9abbbc6140eeee070e8a250c6a7c5f7fd483f5f78edd731240c,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000083,ROOT_TRACKED,LocalTagEntryRef.kt,app/src/main/java/jp/mimac/urlsaver/data/LocalTagEntryRef.kt,sha256:4d466ef05dc244ac0909574e84fe32512882e70f2eff3d2cb07f39ea445995bf,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000084,ROOT_TRACKED,MetadataWorkScheduler.kt,app/src/main/java/jp/mimac/urlsaver/data/MetadataWorkScheduler.kt,sha256:97c94cac07cbddf609bd7b5f0441c09f09e5c74357e48272eb822be6d7b5a4f6,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000085,ROOT_TRACKED,PendingInviteStore.kt,app/src/main/java/jp/mimac/urlsaver/data/PendingInviteStore.kt,sha256:6e9e098e9bcea92bc0851d62ebc44d23127c4e17aea44ab35b2759cd28ed7cb9,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000086,ROOT_TRACKED,RoomModels.kt,app/src/main/java/jp/mimac/urlsaver/data/RoomModels.kt,sha256:eb478d94a56cea77f25d5f49e2ac55e006bc1e06099ab668e61f85c84a5f1dfa,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000087,ROOT_TRACKED,ServiceFilterOrderStore.kt,app/src/main/java/jp/mimac/urlsaver/data/ServiceFilterOrderStore.kt,sha256:715ded6a8ece6d4f526a8b3dfedaa38ef12f6235dc5bf1dc963b707795c47d17,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000088,ROOT_TRACKED,ShareExtras.kt,app/src/main/java/jp/mimac/urlsaver/data/ShareExtras.kt,sha256:4bf0a6331c8baa13afbf82f56ec86e39ceb7150dd3eeefb48b7c79262d9fda0a,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000089,ROOT_TRACKED,SharedTagAuthRemoteDataSource.kt,app/src/main/java/jp/mimac/urlsaver/data/SharedTagAuthRemoteDataSource.kt,sha256:423fd5c2e205af5e9275e845dcc646d1c261f51f6dc18bb095c6a7e2e9268004,PARTIALLY_VERIFIED,S2,specific lines/structure reviewed; full file/runtime or visual scope not exhausted
FILE-000090,ROOT_TRACKED,SharedTagSyncAuth.kt,app/src/main/java/jp/mimac/urlsaver/data/SharedTagSyncAuth.kt,sha256:e70c585dad4ae026a6cbe585fe712b49fc87b1281ad228a13833b7e92b2a7aac,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000091,ROOT_TRACKED,SharedTagSyncCoordinator.kt,app/src/main/java/jp/mimac/urlsaver/data/SharedTagSyncCoordinator.kt,sha256:79fdf781c21fc8d94fed7637d7badab043a05a960b34ce8c5276131da95b47d6,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000092,ROOT_TRACKED,SharedTagSyncDao.kt,app/src/main/java/jp/mimac/urlsaver/data/SharedTagSyncDao.kt,sha256:aefeb6ff116e974bd81666db92abadb54e77f7a939811ba3ff05d38715e3d314,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
FILE-000093,ROOT_TRACKED,SharedTagSyncEntities.kt,app/src/main/java/jp/mimac/urlsaver/data/SharedTagSyncEntities.kt,sha256:3bfc47c1262ab16aef067b0d13f9a884a8054b93df0784d955090f663ea22461,OUT_OF_SCOPE,S1,mobile-owned path; S2 read-only except specifically listed evidence files
